Tiempo(ms),RPM,pwm
11780,1500.0,7864
11784,2250.0,7864
11788,2250.0,7864
11792,1500.0,7864
11796,2250.0,7864
11800,1500.0,7864
11804,2250.0,7864
11808,1500.0,7864
11812,2250.0,7864
11816,2250.0,7864
11820,1500.0,7864
11824,2250.0,7864
11828,1500.0,7864
11832,2250.0,7864
11836,2250.0,7864
11840,1500.0,7864
11844,2250.0,7864
11848,1500.0,7864
11852,2250.0,7864
11856,2250.0,10801
11860,1500.0,10801
11864,2250.0,10801
11868,2250.0,10801
11872,1500.0,10801
11876,2250.0,10801
11880,2250.0,10801
11884,1500.0,10801
11888,2250.0,10801
11892,2250.0,10801
11896,2250.0,10801
11900,2250.0,10801
11904,2250.0,10801
11908,1500.0,10801
11912,2250.0,10801
11916,2250.0,10801
11920,2250.0,10801
11924,2250.0,10801
11928,2250.0,10801
11932,2250.0,10801
11936,2250.0,10801
11940,2250.0,10801
11944,2250.0,10801
11948,2250.0,10801
11952,2250.0,10801
11956,2250.0,10801
11960,2250.0,10801
11964,2250.0,10801
11968,2250.0,10801
11972,2250.0,10801
11976,3000.0,10801
11980,2250.0,10801
11984,2250.0,10801
11988,2250.0,10801
11992,2250.0,10801
11996,3000.0,10801
12000,2250.0,10801
12004,2250.0,10801
12008,2250.0,10801
12012,3000.0,10801
12016,2250.0,10801
12020,2250.0,10801
12024,3000.0,10801
12028,2250.0,10801
12032,2250.0,10801
12036,3000.0,10801
12040,2250.0,10801
12044,2250.0,10801
12048,3000.0,10801
12052,2250.0,10801
12056,3000.0,10801
12060,2250.0,10801
12064,3000.0,10801
12068,2250.0,10801
12072,3000.0,10801
12076,2250.0,10801
12080,3000.0,10801
12084,2250.0,10801
12088,3000.0,10801
12092,2250.0,10801
12096,3000.0,10801
12100,3000.0,10801
12104,2250.0,10801
12108,3000.0,10801
12112,2250.0,10801
12116,3000.0,10801
12120,3000.0,10801
12124,3000.0,10801
12128,2250.0,10801
12132,3000.0,10801
12136,3000.0,10801
12140,2250.0,10801
12144,3000.0,10801
12148,3000.0,10801
12152,3000.0,10801
12156,3000.0,10801
12160,2250.0,10801
12164,3000.0,10801
12168,3000.0,10801
12172,3000.0,10801
12176,3000.0,10801
12180,3000.0,10801
12184,3000.0,10801
12188,3000.0,10801
12192,3000.0,10801
12196,2250.0,10801
12200,3000.0,10801
12204,3000.0,10801
12208,3000.0,10801
12212,3000.0,10801
12216,3000.0,10801
12220,3000.0,10801
12224,3000.0,10801
12228,3750.0,10801
12232,3000.0,10801
12236,3000.0,10801
12240,3000.0,10801
12244,3000.0,10801
12248,3000.0,10801
12252,3000.0,10801
12256,3000.0,10801
12260,3000.0,10801
12264,3750.0,10801
12268,3000.0,10801
12272,3000.0,10801
12276,3000.0,10801
12280,3000.0,10801
12284,3750.0,10801
12288,3000.0,10801
12292,3000.0,10801
12296,3000.0,10801
12300,3750.0,10801
12304,3000.0,10801
12308,3000.0,10801
12312,3000.0,10801
12316,3750.0,10801
12320,3000.0,10801
12324,3750.0,10801
12328,3000.0,10801
12332,3000.0,10801
12336,3750.0,10801
12340,3000.0,10801
12344,3000.0,10801
12348,3750.0,10801
12352,3000.0,10801
12356,3750.0,10801
12360,3000.0,10801
12364,3750.0,10801
12368,3000.0,10801
12372,3750.0,10801
12376,3000.0,10801
12380,3750.0,10801
12384,3000.0,10801
12388,3750.0,10801
12392,3000.0,10801
12396,3750.0,10801
12400,3000.0,10801
12404,3750.0,10801
12408,3750.0,10801
12412,3000.0,10801
12416,3750.0,10801
12420,3000.0,10801
12424,3750.0,10801
12428,3750.0,10801
12432,3000.0,10801
12436,3750.0,10801
12440,3750.0,10801
12444,3000.0,10801
12448,3750.0,10801
12452,3750.0,10801
12456,3000.0,10801
12460,3750.0,10801
12464,3750.0,10801
12468,3750.0,10801
12472,3000.0,10801
12476,3750.0,10801
12480,3750.0,10801
12484,3750.0,10801
12488,3750.0,10801
12492,3000.0,10801
12496,3750.0,10801
12500,3750.0,10801
12504,3750.0,10801
12508,3750.0,10801
12512,3750.0,10801
12516,3000.0,10801
12520,3750.0,10801
12524,3750.0,10801
12528,3750.0,10801
12532,3750.0,10801
12536,3750.0,10801
12540,3750.0,10801
12544,3750.0,10801
12548,3750.0,10801
12552,3000.0,10801
12556,3750.0,10801
12560,3750.0,10801
12564,3750.0,10801
12568,3750.0,10801
12572,3750.0,10801
12576,3750.0,10801
12580,3750.0,10801
12584,3750.0,10801
12588,3750.0,10801
12592,3750.0,10801
12596,3750.0,10801
12600,3750.0,10801
12604,3750.0,10801
12608,4500.0,10801
12612,3750.0,10801
12616,3750.0,10801
12620,3750.0,10801
12624,3750.0,10801
12628,3750.0,10801
12632,3750.0,10801
12636,3750.0,10801
12640,3750.0,10801
12644,3750.0,10801
12648,4500.0,10801
12652,3750.0,10801
12656,3750.0,10801
12660,3750.0,10801
12664,3750.0,10801
12668,3750.0,10801
12672,4500.0,10801
12676,3750.0,10801
12680,3750.0,10801
12684,3750.0,10801
12688,3750.0,10801
12692,4500.0,10801
12696,3750.0,10801
12700,3750.0,10801
12704,3750.0,10801
12708,4500.0,10801
12712,3750.0,10801
12716,3750.0,10801
12720,4500.0,10801
12724,3750.0,10801
12728,3750.0,10801
12732,3750.0,10801
12736,4500.0,10801
12740,3750.0,10801
12744,3750.0,10801
12748,4500.0,10801
12752,3750.0,10801
12756,3750.0,10801
12760,4500.0,10801
12764,3750.0,10801
12768,3750.0,10801
12772,4500.0,10801
12776,3750.0,10801
12780,4500.0,10801
12784,3750.0,10801
12788,3750.0,10801
12792,4500.0,10801
12796,3750.0,10801
12800,3750.0,10801
12804,4500.0,10801
12808,3750.0,10801
12812,4500.0,10801
12816,3750.0,10801
12820,4500.0,10801
12824,3750.0,10801
12828,4500.0,10801
12832,3750.0,10801
12836,4500.0,10801
12840,3750.0,10801
12844,3750.0,10801
12848,4500.0,10801
12852,4500.0,10801
12856,3750.0,10801
12860,3750.0,10801
12864,4500.0,10801
12868,4500.0,10801
12872,3750.0,10801
12876,4500.0,10801
12880,3750.0,10801
12884,4500.0,10801
12888,3750.0,10801
12892,4500.0,10801
12896,3750.0,10801
12900,4500.0,10801
12904,4500.0,10801
12908,3750.0,10801
12912,4500.0,10801
12916,3750.0,10801
12920,4500.0,10801
12924,4500.0,10801
12928,3750.0,10801
12932,4500.0,10801
12936,3750.0,10801
12940,4500.0,10801
12944,4500.0,10801
12948,3750.0,10801
12952,4500.0,10801
12956,4500.0,10801
12960,3750.0,10801
12964,4500.0,10801
12968,4500.0,10801
12972,3750.0,10801
12976,4500.0,10801
12980,4500.0,10801
12984,3750.0,10801
12988,4500.0,10801
12992,4500.0,10801
12996,4500.0,10801
13000,3750.0,10801
13004,4500.0,10801
13008,4500.0,10801
13012,4500.0,10801
13016,3750.0,10801
13020,4500.0,10801
13024,4500.0,10801
13028,4500.0,10801
13032,3750.0,10801
13036,4500.0,10801
13040,4500.0,10801
13044,4500.0,10801
13048,4500.0,10801
13052,3750.0,10801
13056,4500.0,10801
13060,4500.0,10801
13064,4500.0,10801
13068,3750.0,10801
13072,4500.0,10801
13076,4500.0,10801
13080,4500.0,10801
13084,4500.0,10801
13088,4500.0,10801
13092,4500.0,10801
13096,3750.0,10801
13100,4500.0,10801
13104,4500.0,10801
13108,4500.0,10801
13112,4500.0,10801
13116,4500.0,10801
13120,4500.0,10801
13124,3750.0,10801
13128,4500.0,10801
13132,4500.0,10801
13136,4500.0,10801
13140,4500.0,10801
13144,4500.0,10801
13148,4500.0,10801
13152,4500.0,10801
13156,4500.0,10801
13160,4500.0,10801
13164,4500.0,10801
13168,3750.0,10801
13172,4500.0,10801
13176,4500.0,10801
13180,4500.0,10801
13184,4500.0,10801
13188,4500.0,10801
13192,4500.0,10801
13196,4500.0,10801
13200,4500.0,10801
13204,4500.0,10801
13208,4500.0,10801
13212,4500.0,10801
13216,4500.0,10801
13220,4500.0,10801
13224,4500.0,10801
13228,4500.0,10801
13232,4500.0,10801
13236,4500.0,10801
13240,4500.0,10801
13244,4500.0,10801
13248,4500.0,10801
13252,4500.0,10801
13256,4500.0,10801
13260,4500.0,10801
13264,4500.0,10801
13268,4500.0,10801
13272,4500.0,10801
13276,5250.0,10801
13280,4500.0,10801
13284,4500.0,10801
13288,4500.0,10801
13292,4500.0,10801
13296,4500.0,10801
13300,4500.0,10801
13304,4500.0,10801
13308,4500.0,10801
13312,4500.0,10801
13316,4500.0,10801
13320,4500.0,10801
13324,4500.0,10801
13328,5250.0,10801
13332,4500.0,10801
13336,4500.0,10801
13340,4500.0,10801
13344,4500.0,10801
13348,4500.0,10801
13352,4500.0,10801
13356,5250.0,10801
13360,4500.0,10801
13364,4500.0,10801
13368,4500.0,10801
13372,4500.0,10801
13376,4500.0,10801
13380,4500.0,10801
13384,5250.0,10801
13388,4500.0,10801
13392,4500.0,10801
13396,4500.0,10801
13400,4500.0,10801
13404,4500.0,10801
13408,5250.0,10801
13412,4500.0,10801
13416,4500.0,10801
13420,4500.0,10801
13424,5250.0,10801
13428,4500.0,10801
13432,4500.0,10801
13436,4500.0,10801
13440,4500.0,10801
13444,4500.0,10801
13448,5250.0,10801
13452,4500.0,10801
13456,4500.0,10801
13460,5250.0,10801
13464,4500.0,10801
13468,4500.0,10801
13472,4500.0,10801
13476,4500.0,10801
13480,5250.0,10801
13484,4500.0,10801
13488,4500.0,10801
13492,4500.0,10801
13496,5250.0,10801
13500,4500.0,10801
13504,4500.0,10801
13508,4500.0,10801
13512,5250.0,10801
13516,4500.0,10801
13520,4500.0,10801
13524,5250.0,10801
13528,4500.0,10801
13532,4500.0,10801
13536,5250.0,10801
13540,4500.0,10801
13544,4500.0,10801
13548,4500.0,10801
13552,5250.0,10801
13556,4500.0,10801
13560,4500.0,10801
13564,5250.0,10801
13568,4500.0,10801
13572,4500.0,10801
13576,5250.0,10801
13580,4500.0,10801
13584,4500.0,10801
13588,5250.0,10801
13592,4500.0,10801
13596,4500.0,10801
13600,5250.0,10801
13604,4500.0,10801
13608,4500.0,10801
13612,5250.0,10801
13616,4500.0,10801
13620,4500.0,10801
13624,5250.0,10801
13628,4500.0,10801
13632,4500.0,10801
13636,5250.0,10801
13640,4500.0,10801
13644,4500.0,10801
13648,5250.0,10801
13652,4500.0,10801
13656,5250.0,10801
13660,4500.0,10801
13664,4500.0,10801
13668,5250.0,10801
13672,4500.0,10801
13676,5250.0,10801
13680,4500.0,10801
13684,4500.0,10801
13688,5250.0,10801
13692,4500.0,10801
13696,4500.0,10801
13700,5250.0,10801
13704,4500.0,10801
13708,5250.0,10801
13712,4500.0,10801
13716,5250.0,10801
13720,4500.0,10801
13724,4500.0,10801
13728,5250.0,10801
13732,4500.0,10801
13736,5250.0,10801
13740,4500.0,10801
