Tiempo(ms),RPM
10686,8250.00
10690,9000.00
10694,8250.00
10698,9000.00
10702,8250.00
10706,9000.00
10710,9000.00
10714,8250.00
10718,9000.00
10722,8250.00
10726,9000.00
10730,9000.00
10734,8250.00
10738,9000.00
10742,9000.00
10746,8250.00
10750,9000.00
10754,9000.00
10758,8250.00
10762,9000.00
10766,9000.00
10770,8250.00
10774,9000.00
10778,9000.00
10782,9000.00
10786,8250.00
10790,9000.00
10794,9000.00
10798,9000.00
10802,8250.00
10806,9000.00
10810,9000.00
10814,9000.00
10818,8250.00
10822,9000.00
10826,9000.00
10830,9000.00
10834,9000.00
10838,9000.00
10842,9000.00
10846,8250.00
10850,9000.00
10854,9000.00
10858,9000.00
10862,9000.00
10866,9000.00
10870,9000.00
10874,8250.00
10878,9000.00
10882,9000.00
10886,9000.00
10890,9000.00
10894,9000.00
10898,9000.00
10902,9000.00
10906,9000.00
10910,9000.00
10914,9000.00
10918,9000.00
10922,9000.00
10926,8250.00
10930,9750.00
10934,9000.00
10938,8250.00
10942,9750.00
10946,8250.00
10950,9000.00
10954,9000.00
10958,9000.00
10962,9750.00
10966,8250.00
10970,9750.00
10974,9000.00
10978,9000.00
10982,9000.00
10986,9000.00
10990,9000.00
10994,9000.00
10998,9000.00
11002,9000.00
11006,9000.00
11010,9000.00
11014,9000.00
11018,9000.00
11022,9000.00
11026,9000.00
11030,9000.00
11034,9000.00
11038,9000.00
11042,9750.00
11046,9000.00
11050,9000.00
11054,9000.00
11058,9000.00
11062,9000.00
11066,9000.00
11070,9000.00
11074,9750.00
11078,9000.00
11082,9000.00
11086,9000.00
11090,9000.00
11094,9000.00
11098,9000.00
11102,9750.00
11106,9000.00
11110,9000.00
11114,9000.00
11118,9000.00
11122,9000.00
11126,9750.00
11130,9000.00
11134,9000.00
11138,9000.00
11142,9000.00
11146,9000.00
11150,9750.00
11154,9000.00
11158,9000.00
11162,9000.00
11166,9000.00
11170,9750.00
11174,9000.00
11178,9000.00
11182,9000.00
11186,9000.00
11190,9750.00
11194,9000.00
11198,9000.00
11202,9000.00
11206,9750.00
11210,9000.00
11214,9000.00
11218,9000.00
11222,9000.00
11226,9750.00
11230,9000.00
11234,9000.00
11238,9000.00
11242,9750.00
11246,9000.00
11250,9000.00
11254,9000.00
11258,9750.00
11262,9000.00
11266,9000.00
11270,9000.00
11274,9750.00
11278,9000.00
11282,9000.00
11286,9750.00
11290,9000.00
11294,9000.00
11298,9000.00
11302,9750.00
11306,9000.00
11310,9000.00
11314,9000.00
11318,9750.00
11322,9000.00
11326,9000.00
11330,9750.00
11334,9000.00
